"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.066165463E0,-1.325233102E0,3.386537313E0,-4.367557764E-1
2.071720463E0,-1.072036982E0,3.302851200E0,-3.990359604E-1
2.077275463E0,-8.322793841E-1,3.082793474E0,-3.746020794E-1
2.082830463E0,-6.027535200E-1,2.865179062E0,-3.744493723E-1
2.088385463E0,-4.077405334E-1,2.737053871E0,-4.063661397E-1
2.093940463E0,-2.615953386E-1,2.650466204E0,-4.321744442E-1
2.099495463E0,-1.747023165E-1,2.557922840E0,-4.161396921E-1
2.105050463E0,-1.456870735E-1,2.419871330E0,-3.168770075E-1
2.110605463E0,-1.640124917E-1,2.262731075E0,-1.441599578E-1
2.116160463E0,-2.325800955E-1,2.242725611E0,1.374406274E-3
2.121715463E0,-3.208475113E-1,2.325953722E0,1.105633527E-1
2.127270463E0,-3.947600424E-1,2.462477922E0,2.040229887E-1
2.132825463E0,-4.735593498E-1,2.678717852E0,2.863346636E-1
2.138380463E0,-5.431959033E-1,2.891598225E0,3.486410677E-1
2.143935463E0,-5.783196688E-1,3.070729256E0,3.799470067E-1
