"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.407663376E0,3.025000095E0,2.922500038E1,3.987500000E1
3.417736397E0,3.325000048E0,2.907500076E1,3.972500229E1
3.427812543E0,3.912500143E0,2.906250000E1,3.972500229E1
3.437887595E0,3.612499952E0,2.936250114E1,4.018750000E1
3.447959522E0,3.174999952E0,2.951250076E1,4.018750000E1
3.458032751E0,3.475000143E0,2.907500076E1,4.018750000E1
3.468106501E0,3.762500048E0,2.877499962E1,4.002500153E1
3.478183480E0,3.912500143E0,2.877499962E1,4.002500153E1
3.488261553E0,4.362500191E0,2.891250038E1,4.066250229E1
3.498338532E0,5.387500286E0,2.772500038E1,4.187500000E1
3.508412751E0,5.837500095E0,2.712500000E1,4.202500153E1
3.518490407E0,5.687500000E0,2.757500076E1,4.141250229E1
3.528567491E0,6.275000095E0,2.726250076E1,4.141250229E1
3.538641605E0,6.125000000E0,2.697500038E1,4.108750153E1
3.548714001E0,5.837500095E0,2.727499962E1,4.108750153E1
3.558787907E0,6.425000191E0,2.726250076E1,4.078750229E1
3.568863532E0,6.425000191E0,2.682500076E1,4.078750229E1
3.578934939E0,6.575000286E0,2.697500038E1,4.141250229E1
3.589009887E0,7.000000000E0,2.711250114E1,4.187500000E1
3.599084939E0,6.425000191E0,2.726250076E1,4.202500153E1
3.609158793E0,5.675000191E0,2.771249962E1,4.187500000E1
3.619235616E0,6.125000000E0,2.756250000E1,4.172500229E1
3.629309418E0,5.974999905E0,2.727499962E1,4.250000000E1
3.639385720E0,5.687500000E0,2.742500114E1,4.232500076E1
3.649460564E0,6.724999905E0,2.726250076E1,4.141250229E1
3.659533532E0,6.700000286E0,2.756250000E1,4.126250076E1
3.669606866E0,5.974999905E0,2.801250076E1,4.126250076E1
3.679678897E0,5.675000191E0,2.816250038E1,4.126250076E1
3.689750512E0,6.125000000E0,2.801250076E1,4.081250000E1
3.699824522E0,5.974999905E0,2.801250076E1,4.126250076E1
3.709894001E0,5.375000000E0,2.861250114E1,4.142499924E1
3.719969001E0,6.125000000E0,2.786250114E1,4.126250076E1
3.730042803E0,6.575000286E0,2.741250038E1,4.157500076E1
3.740116137E0,6.125000000E0,2.756250000E1,4.126250076E1
3.750191918E0,6.125000000E0,2.786250114E1,4.126250076E1
3.760265876E0,6.575000286E0,2.741250038E1,4.111249924E1
3.770340980E0,6.125000000E0,2.786250114E1,4.096250153E1
3.780414574E0,5.675000191E0,2.816250038E1,4.081250000E1
3.790488012E0,5.974999905E0,2.801250076E1,4.063750076E1
3.800566866E0,6.400000095E0,2.828750038E1,4.096250153E1
3.810643272E0,7.000000000E0,2.858749962E1,4.097500229E1
3.820719834E0,7.437500000E0,2.798750114E1,4.066250229E1
